 cid  comp   mat  prop  sys  grp  load    ?  解读
   3     0     0     0    0    0     0    1  -> ? (1)
   4     0     0     0    0    0     0    0  -> comps (1)
   5     0     0     0    0    0     0    0  -> mats (7)
   6     0     0     0    0    0     0    1  -> mats (5)
   7     0     0     0    0    0     0    0  -> comps (2)
   8     0     0     0    0    0     0    5  -> ? (6)
   9     0     0     0    0    0     0    2  -> ? (2)
  10     0     0     0    0    0     0    1  -> comps (3)
  11     0     0     0    0    0     0    5  -> ? (5)
  12     0     0     0    0    0     0    1  -> comps (4)
  13     0     0     0    0    0     0    2  -> comps (6)
  14     0     0     0    0    0     0    0  -> comps (3)
  15     0     0     0    0    0     0    0  -> comps (1)
  16     0     0     0    0    0     0    0  -> comps (1)
  17     0     0     0    0    0     0    0  -> props (4)

名字冲突: 0
