 cid  comps   mats  props     ?  解读
   3      0      0      0     1  -> ? (1)
   4      1      0      0     0  -> comps (1)
   5      7      4      0     0  -> comps (11)
   6      2      2      0     1  -> mats (5)
   7      2      0      0     0  -> comps (2)
   8      1      0      0     5  -> ? (6)
   9      0      0      0     2  -> ? (2)
  10      1      0      1     1  -> comps (3)
  11      0      0      0     5  -> ? (5)
  12      3      0      0     1  -> comps (4)
  13      4      0      0     2  -> comps (6)
  14      3      0      0     0  -> comps (3)
  15      1      0      0     0  -> comps (1)
  16      1      0      0     0  -> comps (1)
  17      2      0      4     0  -> props (6)
