shell_section.hm                     v11.05  v11-classic payload=     4,919 | nodes        13/       13 OK | elems         8/        8 OK |    0.0s
3_step_proc.hm10                     v11.05  v11-classic payload=     5,001 | nodes        13/       13 OK | elems         8/        8 OK |    0.0s
radius-tcl.hm                        v11.03  v11-classic payload=     5,482 | nodes         4/        4 OK | elems         4/        4 OK |    0.0s
standard_section.hm                  v11.05  v11-classic payload=     5,691 | nodes        25/       25 OK | elems        16/       16 OK |    0.0s
leg_geom.hm                          v11.05  v11-classic payload=     5,957 | nodes         4/        4 OK | elems         0/        0 skip(0) |    0.0s
3_step_proc_complete.hm10            v11.05  v11-classic payload=     6,274 | nodes        13/       13 OK | elems         9/        9 OK |    0.0s
standard_section_complete.hm         v11.05  v11-classic payload=     8,917 | nodes        25/       25 OK | elems        36/       36 OK |    0.0s
plate_hole.hm                        v11.05  v11-classic payload=    18,792 | nodes         0/        0 skip(0) | elems         0/        0 skip(0) |    0.0s
windshield.hm                        v11.05  v11-classic payload=    21,080 | nodes       136/      136 OK | elems       112/      112 OK |    0.0s
manifold_inner_cylinder_2d.hm        v11.05  v11-classic payload=    24,258 | nodes       227/      227 OK | elems       227/      227 OK |    0.0s
morphing_1.hm                        v11.05  v11-classic payload=    25,536 | nodes       230/      230 OK | elems       200/      200 OK |    0.0s
bracket.hm                           v11.05  v11-classic payload=    28,514 | nodes         0/        0 skip(0) | elems         0/        0 skip(0) |    0.0s
planar.hm                            v11.05  v11-classic payload=    39,249 | nodes       118/      118 OK | elems        92/       92 OK |    0.0s
hm-ansys_contact_wizard_2-d_tutorial.hm v11.05  v11-classic payload=    42,914 | nodes       231/      231 OK | elems         0/      202 miss+202 |    0.1s
abaqus3_0tutorial.hm                 v11.05  v11-classic payload=    44,350 | nodes       512/      512 OK | elems       268/      270 miss+2 |    0.1s
1d_elements.hm                       v11.05  v11-classic payload=    49,995 | nodes       443/      443 OK | elems       400/      400 OK |    0.1s
channel.hm                           v11.05  v11-classic payload=    52,562 | nodes         0/        0 skip(0) | elems         0/        0 skip(0) |    0.0s
2_holes.hm                           v11.05  v11-classic payload=    53,210 | nodes         0/        0 skip(0) | elems         0/        0 skip(0) |    0.0s
abaqus_contactManager_2D_tutorial.hm v11.05  v11-classic payload=    56,173 | nodes       620/      620 OK | elems       490/      537 miss+47 |    0.1s
bumper_morphing.hm                   v11.05  v11-classic payload=    60,206 | nodes       473/      473 OK | elems       432/      432 OK |    0.1s
chordal_dev.hm                       v11.05  v11-classic payload=    78,074 | nodes         0/        0 skip(0) | elems         0/        0 skip(0) |    0.0s
hyperbeam.hm                         v11.05  v11-classic payload=    81,027 | nodes         0/        0 skip(0) | elems         0/        0 skip(0) |    0.0s
keyhole.hm                           v11.05  v11-classic payload=    86,572 | nodes       550/      550 OK | elems       502/      505 miss+3 |    0.1s
chapter2_3.hm                        v11.05  v11-classic payload=    96,805 | nodes       612/      612 OK | elems       500/      500 OK |    0.1s
bottle.hm                            v11.04  v11-classic payload=   103,407 | nodes       821/      821 OK | elems       817/      817 OK |    0.1s
rail_crash.hm                        v11.05  v11-classic payload=   104,047 | nodes     1,012/    1,012 OK | elems       990/      990 OK |    0.1s
icw_ex1.hm                           v11.05  v11-classic payload=   104,805 | nodes        77/       89 miss+12 | elems       248/      269 miss+21 |    1.7s
bumper_mid.hm                        v11.05  v11-classic payload=   108,505 | nodes       119/      119 OK | elems        96/       96 OK |    0.0s
c-channel0.hm                        v11.05  v11-classic payload=   113,185 | nodes         3/        0 skip(0) | elems         0/        0 skip(0) |    0.1s
head_start.hm                        v11.04  v11-classic payload=   113,200 | nodes     1,090/    1,090 OK | elems       920/      920 OK |    0.1s
head_2.hm                            v11.04  v11-classic payload=   113,569 | nodes     1,090/    1,090 OK | elems       920/      920 OK |    0.1s
rail-dyna.hm                         v11.05  v11-classic payload=   116,409 | nodes     1,012/    1,012 OK | elems       990/      990 OK |    0.1s
c_channel-tcl.hm                     v12.03  v11-classic payload=   121,119 | nodes       806/      806 OK | elems       780/      780 OK |    0.1s
hm-ansys_contact_manager_2-d_tutorial.hm v12.07  v12-13     payload=   124,178 | nodes       202/      203 miss+1 | elems         0/      173 miss+173 |    0.1s
