0x0480  00 00 00 00 00 00 00 00 00 00 00 00 00 00 33 33  ..............33
0x0490  33 33 33 33 eb bf 00 00 00 00 00 00 00 00 00 00  3333............
0x04a0  00 00 00 00 00 00 00 00 00 00 00 00 f0 bf 00 00  ................ [n7z@+06]
0x04b0  00 00 00 00 f0 3f 00 00 00 00 00 00 00 00 00 00  .....?..........
0x04c0  00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00  ................
0x04d0  00 00 00 00 f0 bf 00 00 00 00 00 00 00 00 01 00  ................
0x04e0  00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00  ................
0x04f0  00 00 00 00 00 00 00 03 00 00 00 00 00 00 00 00  ................
0x0500  00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00  ................
0x0510  00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00  ................
0x0520  00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00  ................
0x0530  00 f0 bf 00 00 00 00 00 00 00 00 00 00 00 00 00  ................
0x0540  00 f0 3f 00 00 00 00 00 00 00 00 00 00 00 00 00  ..?.............
0x0550  00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00  ................
0x0560  00 00 00 00 00 00 00 00 00 f0 3f 02 00 00 00 00  ..........?.....
0x0570  00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00  ................
0x0580  00 00 00 00 04 00 00 00 00 00 00 00 00 00 00 00  ................
0x0590  00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00  ................
0x05a0  00 00 00 00 00 00 00 00 33 33 33 33 33 33 e3 bf  ........333333..
0x05b0  00 00 00 00 00 00 00 00 00 00 00 00 00 00 f0 bf  ................
