Top * commands:
  *createmark: 11626
  *clearmark: 7008
  *attributeupdateint: 4532
  *setvalue: 2918
  *attributeupdatedouble: 2081
  *entityhighlighting: 1663
  *deletemark: 1298
  *displaycollectorwithfilter: 1297
  *attributeupdatestring: 1278
  *MAT: 1274
  *createstringarray: 1099
  *CONTACT: 942
  *attributeupdateentity: 844
  *findmark: 822
  *dictionaryload: 742
  *cardcreate: 686
  *createentity: 684
  *createdoublearray: 641
  *0: 623
  *attributeupdateintmark: 619
  *CONSTRAINED: 596
  *attributeupdatestringarray: 562
  *createarray: 527
  *appendmark: 513
  *plot: 500
  *createmarkpanel: 494
  *CONTROL: 484
  *ELEMENT: 481
  *attributeupdatedoublearray: 443
  *displaycollectorsbymark: 420
  *collectorcreate: 414
  *currentcollector: 395
  *createlist: 357
  *elementtype: 343
  *SET: 339
  *collectorcreateonly: 328
  *reviewclearall: 319
  *markintersection: 314
  *retainmarkselections: 305
  *clearmarkall: 301
Top hm_ functions:
  hm_getentityvalue: 13685
  hm_registertooltipforentitydataname: 9971
  hm_getmark: 6982
  hm_private_eemodifyattributepulldownrename: 6454
  hm_getvalue: 4446
  hm_createmark: 3729
  hm_info: 3456
  hm_privateregisterentitydatanamecoalescing: 3391
  hm_entityinfo: 3275
  hm_private_eemodifyattributeparameterizablestatus: 2865
  hm_private_eemodifyattributeremove: 2519
  hm_markclear: 2219
  hm_private_eemodifyattributedisplayname: 2038
  hm_getitemnumber: 1982
  hm_private_eemodifyattributepulldownadd: 1784
  hm_marklength: 1754
  hm_blockmessages: 1635
  hm_registerfinetooltipforentityarraydataname: 1508
  hm_usermessage: 1325
  hm_private_eemodifyattributedescription: 1251
  hm_latestentityid: 1217
  hm_attributearrayvalue: 1202
  hm_disablecollector: 1166
  hm_private_eemodifyattributepulldownremove: 1158
  hm_getitemowner: 1077
  hm_defined: 1055
  hm_winfo: 925
  hm_framework: 879
  hm_entitylist: 874
  hm_setpanelproc: 836
hmascii related files: 16
  C:/Program Files/Altair/2019/hm/scripts\hypermesh.tcl
  C:/Program Files/Altair/2019/hm/scripts\MidMeshThickness.tcl
  C:/Program Files/Altair/2019/hm/scripts\assemblytools\athmcallbacks.tcl
  C:/Program Files/Altair/2019/hm/scripts\femsite\conn\procs\femsiteTypes.tcl
  C:/Program Files/Altair/2019/hm/scripts\femsite\conn\procs\import.tcl
  C:/Program Files/Altair/2019/hm/scripts\HyperXtrude\hx_msg_db_eng.tcl
  C:/Program Files/Altair/2019/hm/scripts\ImportExport\export_fe.tcl
  C:/Program Files/Altair/2019/hm/scripts\ImportExport\Export_GUI_FE.tcl
  C:/Program Files/Altair/2019/hm/scripts\ImportExport\import_fe.tcl
  C:/Program Files/Altair/2019/hm/scripts\ImportExport\import_geom.tcl
