read: 1
nodes=1042
elems=1001 first10=1344 1345 1346 1347 1348 1349 1350 1351 1352 1353
E 1344 cfg=104 nodes= 1569 1571 1566 1567 0 0 0 0
E 1345 cfg=104 nodes= 1571 1562 1563 1566 0 0 0 0
E 1346 cfg=104 nodes= 1554 1555 1572 1570 0 0 0 0
E 1347 cfg=104 nodes= 1570 1572 1571 1569 0 0 0 0
E 1348 cfg=104 nodes= 1555 1556 1561 1572 0 0 0 0
E 1349 cfg=104 nodes= 1572 1561 1562 1571 0 0 0 0
E 1350 cfg=104 nodes= 1545 1573 1568 1544 0 0 0 0
E 1351 cfg=104 nodes= 1573 1569 1567 1568 0 0 0 0
E 1352 cfg=104 nodes= 1547 1553 1574 1546 0 0 0 0
E 1353 cfg=104 nodes= 1546 1574 1573 1545 0 0 0 0
